country,imports_1990_2023,exports_1990_2023,trade_balance,percent_change
Australia,78971302021,1437701779,-77533600242,-98.18
Brazil,95767382927,2474112349,-93293270578,-97.42
Canada,535724294860,487287498904,-48436795956,-9.04
China,81851599576,386014069199,304162469623,371.60
Colombia,61473172881,33059948157,-28413224724,-46.22
European Union,548130844190,303665405987,-244465438203,-44.60
India,52226207967,11564974994,-40661232973,-77.86
Indonesia,34988138528,53254111891,18265973363,52.21
Mexico,486764315484,428108943399,-58655372085,-12.05
Philippines,3459826841,57407904922,53948078081,1559.27
Thailand,42032297105,15316364666,-26715932439,-63.56
Turkey,676502676,32698177998,32021675322,4733.41
United Kingdom,45098281171,45445052240,346771069,0.77
Vietnam,10070732936,35575733781,25505000845,253.26
