commodity_imports,year_1990_2023
"Bananas/plantains, fresh/frozen",54754231434
"Beef and veal, fresh/frozen",114736086005
Biscuits and wafers,84728439823
Cattle and calves,45908359190
Cocoa and products,105138097107
"Coffee, including products",148785482590
Confectionery products,40584166000
Distilled spirits,164265437943
Essential oils,53274341552
"Feeds/fodders, excluding oilcake",35253100871
Malt beverages,110654789599
Miscellaneous horticultural products,77216840737
Other beverages,98906331436
"Other fruits, prepared/preserved",46646131749
Other grains and preparations,67335510585
"Sugar, cane and beet",39854761970
"Tomatoes, fresh",46895791862
Wine,129372834647
